Date,Value
28-Jul-2017,2470.73
1-Jul-2017,2431.39
1-Jun-2017,2430.06
1-May-2017,2390.5
1-Apr-2017,2363
1-Mar-2017,2378.02
1-Feb-2017,2342.84
1-Jan-2017,2294.94
1-Dec-2016,2279.41
1-Nov-2016,2197.3
1-Oct-2016,2171.62
1-Sep-2016,2189.21
1-Aug-2016,2207.96
1-Jul-2016,2187.37
1-Jun-2016,2117.75
1-May-2016,2106.12
1-Apr-2016,2124.93
1-Mar-2016,2079.88
1-Feb-2016,1967.42
1-Jan-2016,1983.7
1-Dec-2015,2127.29
1-Nov-2015,2147.41
1-Oct-2015,2085.4
1-Sep-2015,2001.69
1-Aug-2015,2096.7
1-Jul-2015,2149.43
1-Jun-2015,2154.86
1-May-2015,2175.44
1-Apr-2015,2168.84
1-Mar-2015,2157.83
1-Feb-2015,2172.98
1-Jan-2015,2125.79
1-Dec-2014,2143.01
1-Nov-2014,2120.79
1-Oct-2014,1998.64
1-Sep-2014,2051.21
1-Aug-2014,2020.11
1-Jul-2014,2028.63
1-Jun-2014,2001.11
1-May-2014,1945.81
1-Apr-2014,1926.25
1-Mar-2014,1931.83
1-Feb-2014,1895.78
1-Jan-2014,1908.36
1-Dec-2013,1900.14
1-Nov-2013,1874.5
1-Oct-2013,1804.06
1-Sep-2013,1765.03
1-Aug-2013,1749.2
1-Jul-2013,1749.82
1-Jun-2013,1698.15
1-May-2013,1724.39
1-Apr-2013,1654.62
1-Mar-2013,1632.27
1-Feb-2013,1595.62
1-Jan-2013,1574.74
1-Dec-2012,1517.4
1-Nov-2012,1483.76
1-Oct-2012,1522.59
1-Sep-2012,1527.93
1-Aug-2012,1492.25
1-Jul-2012,1453.86
1-Jun-2012,1412.74
1-May-2012,1429.63
1-Apr-2012,1476.03
1-Mar-2012,1483.49
1-Feb-2012,1455.22
1-Jan-2012,1405.53
1-Dec-2011,1349.56
1-Nov-2011,1327.93
1-Oct-2011,1306.04
1-Sep-2011,1267.35
1-Aug-2011,1281.63
1-Jul-2011,1436.83
1-Jun-2011,1396.98
1-May-2011,1450.79
1-Apr-2011,1450.21
1-Mar-2011,1429.93
1-Feb-2011,1462.28
1-Jan-2011,1426.66
1-Dec-2010,1387.54
1-Nov-2010,1342.18
1-Oct-2010,1312.16
1-Sep-2010,1258.29
1-Aug-2010,1219.97
1-Jul-2010,1213.25
1-Jun-2010,1217.51
1-May-2010,1263.14
1-Apr-2010,1345.31
1-Mar-2010,1296.69
1-Feb-2010,1230.94
1-Jan-2010,1270.16
1-Dec-2009,1259.52
1-Nov-2009,1232.04
1-Oct-2009,1209.79
1-Sep-2009,1184.74
1-Aug-2009,1145.97
1-Jul-2009,1064.47
1-Jun-2009,1051.76
1-May-2009,1033.64
1-Apr-2009,974.29
1-Mar-2009,871.91
1-Feb-2009,929.56
1-Jan-2009,1004.19
1-Dec-2008,1022.52
1-Nov-2008,1018.27
1-Oct-2008,1095.76
1-Sep-2008,1362.53
1-Aug-2008,1432.78
1-Jul-2008,1400.18
1-Jun-2008,1501.48
1-May-2008,1586.68
1-Apr-2008,1562.7
1-Mar-2008,1510.77
1-Feb-2008,1567.75
1-Jan-2008,1600.03
